dim,seed,model,nleaps,sampler,ess,ess_exact,n_leapfrog,msjd,margin1_mean,margin1_var,KS,ks_pval,mala
2.2,5,funnel_scale,1,AM,1373.8576685716098,1875.6541992299753,4.6784052e7,398207.45267423755,0.06917273560106815,6.585802956148341,127.94113121846559,0.0,false
2.2,15,funnel_scale,1,AH_unif,1594.4108980015,2642.288449941383,6.5600314e7,61653.557223660464,0.31773388581317497,5.273744759328447,117.921298058356,0.0,false
3.6,7,funnel_scale,1,NUTS,1459.3576058160736,54.534893616820945,83899685,9.81207395890226e44,13.000987007331847,0.18805327952485085,1023.9885965040736,0.0,false
4.0,6,funnel_scale,1,AH_fix,1565.7851146941164,4338.577382730441,9.8186848e7,2.890601328247205e9,0.5220629782931563,2.831735201208774,240.2721088078099,0.0,false
3.4,3,funnel_scale,1,AH_exp,1463.596070137669,4223.098609345436,7.4931056e7,1.2993709738997836e6,0.09980908404326252,3.104898148112481,199.76883418720266,0.0,false
0.2,3,funnel_scale,1,AM,105328.00903947165,105783.45934069934,1.7850472e7,6.348725075792005,0.00044206661986848257,8.961230335542,1.6567755627593215,0.008257252114987821,false
2.8,14,funnel_scale,1,NUTS,2934.3786254360766,45.30595091389885,183688949,7.504188654254593e37,14.265622611522675,0.3081513328024348,1023.9974291454491,0.0,false
1.2,15,funnel_scale,1,NUTS,1634.076871883582,149.12570457259432,28277907,1.792294303995373e10,7.820237935113906,1.1230967876134594,997.4029688554871,0.0,false
1.2,17,funnel_scale,1,AH_fix,3435.221031586048,4139.3905415447225,6.4369812e7,9662.632117546642,0.34932396648404834,7.060000445509212,59.8258149226765,0.0,false
0.8,16,funnel_scale,1,AM,2063.0136074292827,1889.9313002438867,2.8697167e7,10.99278276828206,0.02292665460940957,9.823173326732073,17.044365989165282,9.265999776047166e-253,false
0.8,7,funnel_scale,1,NUTS,1600.305684187666,657.8337105687091,17801418,24595.346874875944,3.4820379669942856,2.9644047264679094,605.5277158583502,0.0,false
1.2,5,funnel_scale,1,AH_exp,2211.1506277076596,2500.0435303260456,6.0728756e7,1182.1348036121453,0.09455787724060771,7.94071362763656,29.602931653420324,0.0,false
0.4,10,funnel_scale,1,AM,7641.6666031857685,7298.344394797098,2.1863923e7,4.357615543004442,-0.06673124234508244,9.390176392217244,7.152951246428074,7.243129017267174e-45,false
2.0,16,funnel_scale,1,AH_fix,2152.5591309245087,3204.44229391087,6.895424e7,461439.83844667673,0.6320842674350924,5.206641686301405,132.97245862069707,0.0,false
1.2,6,funnel_scale,1,AH_exp,1540.3616713784102,1135.3263313847465,6.6922008e7,2725.9411050061613,-0.8139058419555865,11.215297996682049,128.50651228639407,0.0,false
4.0,15,funnel_scale,1,AM,1899.216222093818,8169.014131018086,4.040547e7,110868.64855976572,0.5148523447433027,1.6012580624340045,279.8787904271841,0.0,false
2.6,6,funnel_scale,1,AH_fix,1861.5697642436094,4052.2778586391173,7.1831516e7,400557.9594488424,0.41869498819360274,3.816110862395084,169.04525044945422,0.0,false
